"","long","depth","mag","stations","lat"
"499",181.41,586,4.5,33,-17.9
"500",181.41,593,4.9,40,-20.68
"501",181.41,595,4.6,36,-20.72
"502",181.42,409,4.3,27,-15.45
"503",181.42,524,4.2,16,-17.46
"504",181.42,559,4.6,27,-20.95
"505",181.42,565,5.3,89,-17.72
"506",181.42,575,4.3,18,-20.73
"507",181.43,205,4.4,34,-29.91
"508",181.44,589,5.6,115,-17.85
"509",181.47,562,4.4,27,-17.88
"510",181.47,582,4.5,25,-20.97
"511",181.48,542,4.1,20,-17.84
"512",181.48,555,4,17,-17.91
"513",181.48,578,4.7,43,-17.97
"514",181.49,537,4,15,-17.94
"515",181.49,573,4.2,14,-17.82
"516",181.49,641,5,49,-18.48
"517",181.5,55,4.8,26,-32.62
"518",181.5,538,5.5,104,-21.11
"519",181.5,546,4.6,31,-20.92
"520",181.5,548,4.1,10,-17.6
"521",181.5,573,4,19,-17.9
"522",181.5,589,4,12,-17.9
"523",181.5,590,4.5,21,-17.83
"524",181.5,593,4.3,16,-17.95
"525",181.51,524,4.8,49,-21.22
"526",181.51,548,4.7,32,-20.9
"527",181.51,586,5.2,68,-17.98
"528",181.51,601,4,16,-17.94
"529",181.51,609,4.4,32,-20.27
"530",181.52,618,4.6,41,-18.13
"531",181.53,511,4.8,56,-17.78
"532",181.53,598,4.5,36,-20.74
"533",181.54,546,4.3,28,-18.07
"534",181.54,564,5,64,-20.93
"535",181.55,582,4.7,35,-20.69
"536",181.57,530,4.2,20,-20.91
"537",181.57,572,4.5,26,-18.07
"538",181.57,579,4.9,49,-17.99
"539",181.57,587,5,51,-18.04
"540",181.58,490,5,77,-21.19
"541",181.58,573,4.3,21,-20.94
"542",181.58,590,4.2,14,-17.98
"543",181.58,603,5,65,-18.07
"544",181.59,57,5.2,49,-31.03
"545",181.59,499,5.1,91,-20.85
"546",181.59,543,4.6,34,-17.56
"547",181.59,595,4.1,26,-17.99
"548",181.59,604,4.5,23,-18.06
"549",181.6,72,4.7,22,-33
"550",181.6,153,4.2,21,-33.2
"551",181.6,169,4.6,27,-32.9
"552",181.6,553,4.4,14,-18.2
"553",181.6,587,4.1,13,-20.14
"554",181.61,598,4.3,27,-17.98
"555",181.61,599,4.6,30,-20.63
"556",181.62,558,4.5,31,-20.18
"557",181.62,561,4.5,32,-17.93
"558",181.62,562,4.8,41,-20.42
"559",181.62,574,4.8,38,-17.99
"560",181.63,80,4.5,17,-30.24
"561",181.63,568,4.3,36,-18.11
"562",181.63,592,4.4,28,-18.1
"563",181.65,593,4.1,16,-18.07
"564",181.65,619,4.3,26,-17.95
"565",181.66,221,5.1,63,-28.83
"566",181.66,559,4.9,50,-20.54
"567",181.66,600,4.4,10,-21
"568",181.66,626,4.1,19,-17.97
"569",181.67,577,5,67,-20.82
"570",181.67,597,4.6,28,-18.11
"571",181.69,487,4.4,20,-21.26
"572",181.69,508,4.5,14,-20.32
"573",181.69,559,4.5,24,-20.49
"574",181.7,80,4.8,13,-27.38
"575",181.7,94,4.8,59,-27.72
"576",181.7,211,4.4,40,-32.7
"577",181.7,329,4.5,24,-26.4
"578",181.7,450,4,11,-17.7
"579",181.7,560,4.2,13,-20.87
"580",181.71,226,4.1,19,-28.25
"581",181.71,323,4.2,15,-21.81
"582",181.71,574,4,20,-18.14
"583",181.71,594,4.6,24,-18.12
"584",181.72,487,4.3,16,-20.97
"585",181.72,544,4.6,52,-18.1
"586",181.73,583,4.7,57,-17.95
"587",181.74,211,4.7,35,-28.74
"588",181.74,538,4.3,31,-20.41
"589",181.74,616,4.3,17,-18.19
"590",181.75,75,4.7,41,-34.12
"591",181.75,582,4.7,27,-20.07
"592",181.75,640,4.5,47,-18.04
"593",181.77,600,4.1,11,-18.4
"594",181.8,246,4.3,23,-34.1
"595",181.82,598,4.1,14,-17.81
"596",181.83,640,4.3,24,-17.82
"597",181.84,611,4.2,20,-18.04
"598",181.85,534,4.1,14,-20.45
"599",181.85,576,4.9,54,-19.85
"600",181.86,530,4.5,27,-20.42
"601",181.87,577,4.7,19,-20.04
"602",181.87,597,4.2,18,-19.6
"603",181.88,649,5.4,88,-18.12
"604",181.89,567,4.1,27,-17.93
"605",181.9,309,4.3,11,-22.3
"606",181.9,409,4.4,19,-21.58
"607",181.9,417,4.2,14,-17.46
"608",181.9,556,4.4,17,-20.9
"609",181.9,576,4.1,16,-20.21
"610",181.91,442,5.4,82,-18.6
"611",181.91,590,4.6,34,-19.61
"612",181.93,194,4.4,15,-28.11
"613",181.96,53,5.2,89,-27.98
"614",181.96,649,4,11,-20.42
"615",181.98,651,4.8,43,-18.17
"616",181.99,504,4.2,11,-20.16
"617",182,125,4.7,22,-30.2
"618",182,199,4,16,-28
"619",182,569,4.6,12,-17.87
"620",182.01,605,5.1,49,-20.04
"621",182.02,56,5.5,68,-30.17
"622",182.02,402,4.3,18,-20.9
"623",182.02,497,5.2,64,-20.64
"624",182.04,499,4.5,29,-20.56
"625",182.04,575,4.4,23,-19.83
"626",182.04,609,4.4,26,-18.18
"627",182.1,62,4.9,25,-30.69
"628",182.1,68,4.5,26,-25.8
"629",182.1,154,4.6,22,-27.6
"630",182.1,179,4.4,19,-29.1
"631",182.1,193,4.8,27,-27.84
"632",182.1,397,4.2,22,-20.37
"633",182.1,500,4.5,37,-20.45
"634",182.11,554,4.4,19,-18.54
"635",182.12,205,5.6,98,-26
"636",182.13,562,4.4,31,-19.85
"637",182.16,41,4.7,24,-30.8
"638",182.16,489,4.2,16,-20.1
"639",182.18,43,4.7,17,-27.1
"640",182.18,56,4.5,14,-27.18
"641",182.18,69,5.4,68,-27.19
"642",182.18,360,4.3,23,-19.67
"643",182.2,445,4,12,-17.7
"644",182.2,501,4.2,23,-18.85
"645",182.21,417,5.6,129,-18.82
"646",182.22,162,5.1,67,-27.64
"647",182.22,506,4.3,24,-20.65
"648",182.23,563,4,17,-18.55
"649",182.25,68,4.6,18,-28.1
"650",182.26,174,4.5,18,-27.75
"651",182.26,575,4.3,11,-18.83
"652",182.28,65,4.2,14,-27.22
"653",182.28,529,5,50,-20.6
"654",182.29,326,4.1,15,-19.4
"655",182.29,399,4.1,10,-15.03
"656",182.3,49,4.4,11,-26.1
"657",182.3,56,4.9,34,-30.1
"658",182.3,390,4.9,48,-19.19
"659",182.3,476,4.5,10,-20.3
"660",182.3,492,4.3,23,-20.51
"661",182.3,533,4.2,11,-20.2
"662",182.3,589,4.2,19,-19.41
"663",182.31,129,4.4,14,-29.5
"664",182.31,388,4.2,14,-16.85
"665",182.32,261,4.3,13,-21.97
"666",182.32,442,4.2,22,-18.98
"667",182.35,554,4.2,13,-18.75
"668",182.36,65,4.7,21,-27.27
"669",182.37,328,4.4,17,-19.84
"670",182.37,376,4.8,57,-18.48
"671",182.37,482,4.6,37,-20.21
"672",182.37,502,5.1,48,-20.43
"673",182.38,45,4.5,16,-27.27
"674",182.38,172,4.4,14,-25.79
"675",182.38,579,4.6,38,-19.57
"676",182.39,69,4.3,14,-27.2
"677",182.39,69,4.5,12,-27.38
"678",182.39,117,5.1,43,-28.05
"679",182.39,243,4.7,32,-23.89
"680",182.39,342,4.2,14,-18.31
"681",182.39,544,4.6,30,-19.94
"682",182.4,51,4.4,18,-30.09
"683",182.4,61,4.6,11,-27.6
"684",182.4,63,4.6,22,-30.39
"685",182.4,176,4.6,28,-33
"686",182.4,186,4.2,17,-26.67
"687",182.4,260,4.1,12,-21.16
"688",182.4,350,4,12,-21.62
"689",182.4,375,4,18,-19.73
"690",182.41,385,5.2,67,-18.8
"691",182.41,420,4.5,29,-17.02
"692",182.43,55,4.6,10,-27.21
"693",182.43,566,4.3,20,-18.94
"694",182.43,571,4.5,23,-19.22
"695",182.44,364,4.3,20,-21.48
"696",182.44,397,4,12,-19.7
"697",182.44,518,4.2,10,-20.61
"698",182.45,477,4,16,-19.06
"699",182.47,103,4.3,11,-27.71
"700",182.5,51,4.5,13,-27.27
"701",182.5,68,4.3,12,-27.54
"702",182.5,133,4.2,17,-26.1
"703",182.5,184,4.3,11,-26.46
"704",182.51,423,4.2,21,-15.83
"705",182.51,579,5.2,56,-19.13
"706",182.53,60,4.6,21,-27.18
"707",182.53,204,4.6,27,-23.85
"708",182.53,232,5,55,-23.73
"709",182.54,201,4.7,40,-25.81
"710",182.54,524,4.6,14,-19.83
"711",182.54,570,4.1,22,-19.22
"712",182.56,229,4.3,24,-23.83
"713",182.6,42,4.4,11,-27.33
"714",182.6,149,4.9,31,-25.2
"715",182.6,488,4.6,12,-20.61
"716",182.61,54,4.6,15,-28.96
"717",182.62,573,4.5,32,-19.34
"718",182.64,405,5.2,74,-18.51
"719",182.65,102,5,36,-25.42
"720",182.68,74,4.4,20,-28.23
"721",182.68,403,5.5,82,-17.1
"722",182.69,162,5.2,64,-26.72
"723",182.72,57,5.4,61,-29.33
"724",182.73,391,4,16,-16.4
"725",182.74,298,4.5,33,-20.08
"726",182.75,175,4.5,14,-24
"727",182.77,119,4.5,29,-26.6
"728",182.78,348,4.5,30,-19.28
"729",182.8,133,4,14,-25.06
"730",182.8,199,4.6,14,-23.95
"731",182.8,237,4.3,18,-23.19
"732",182.8,273,5.3,78,-21.92
"733",182.8,390,4,14,-17.1
"734",182.82,124,5,25,-25.5
"735",182.82,431,4.4,16,-16
"736",182.84,148,4.1,16,-24.36
"737",182.85,137,4.8,40,-24.97
"738",182.9,207,4.2,18,-21.55
"739",182.9,383,4.1,11,-17.2
"740",182.92,87,5.5,67,-27.89
"741",182.93,80,4.3,14,-27.63
"742",182.93,158,4.1,20,-23.44
"743",182.93,406,4,17,-17.02
"744",183,118,4.3,11,-23.73
"745",183,302,5,65,-19.3
"746",183,375,4.2,15,-20.3
"747",183.05,300,4.2,16,-19.41
"748",183.11,225,4.6,21,-21.78
"749",183.13,393,4.4,28,-15.26
"750",183.2,54,4.6,23,-29.09
"751",183.2,103,4.5,14,-18.3
"752",183.2,296,4,16,-21
"753",183.2,325,4.4,19,-21.8
"754",183.22,294,4.3,18,-20.08
"755",183.23,271,4.4,36,-21.56
"756",183.3,180,4,13,-22.7
"757",183.32,356,4.2,15,-17.61
"758",183.33,70,4.7,30,-24.68
"759",183.34,66,4.6,18,-22.55
"760",183.35,190,4.5,36,-26.72
"761",183.4,57,5,32,-28.15
"762",183.4,70,5.1,54,-27.28
"763",183.4,87,4.7,34,-27.87
"764",183.4,94,5.2,79,-23.58
"765",183.4,284,4.3,15,-20.12
"766",183.4,343,4.1,10,-18.4
"767",183.41,306,5.2,54,-18.16
"768",183.44,63,4.7,27,-27.08
"769",183.45,90,4.7,30,-23.08
"770",183.47,48,4.8,56,-28.56
"771",183.48,210,5.2,69,-21.79
"772",183.5,42,4.4,17,-28.1
"773",183.5,67,4.3,25,-24.6
"774",183.5,71,4.3,22,-27.99
"775",183.5,293,4.2,15,-19.44
"776",183.51,307,4.3,19,-19.19
"777",183.52,90,4.7,19,-22.28
"778",183.54,384,4.2,23,-16.04
"779",183.58,234,4.7,55,-21.71
"780",183.59,53,4.4,20,-28.56
"781",183.59,367,4.7,35,-16.23
"782",183.6,75,4.9,49,-28.22
"783",183.6,213,4.4,17,-21.8
"784",183.61,40,4.6,22,-26.78
"785",183.63,66,4.7,34,-26.54
"786",183.68,44,4.8,27,-27.17
"787",183.68,107,4.8,52,-18.2
"788",183.71,251,4.4,47,-20.77
"789",183.78,180,4.3,25,-21.07
"790",183.78,200,4.9,54,-21.48
"791",183.8,71,4.3,19,-22.9
"792",183.81,82,5.1,68,-22.55
"793",183.81,203,4.5,34,-21.06
"794",183.83,242,4.4,29,-20.21
"795",183.84,244,5.3,73,-19.89
"796",183.84,309,4.5,23,-19.6
"797",183.84,517,4.2,21,-19.3
"798",183.86,156,5.1,70,-21.57
"799",183.86,243,4.9,65,-20.05
"800",183.87,61,5.3,42,-19.1
"801",183.88,56,4.9,36,-27
"802",183.91,264,4.2,23,-19.92
"803",183.95,64,5.9,118,-22.91
"804",183.95,109,5.4,61,-22.04
"805",183.95,134,4.5,17,-22.06
"806",183.97,280,4,16,-19.51
"807",183.99,118,5.4,88,-23.6
"808",183.99,128,5.2,72,-22.41
"809",184,164,4.8,50,-23.29
"810",184.03,89,4.7,32,-23.07
"811",184.06,249,4.4,21,-20.31
"812",184.08,219,5.4,105,-19.89
"813",184.09,234,5.3,71,-20.02
"814",184.1,42,5.4,43,-26
"815",184.1,338,4.3,13,-16.17
"816",184.13,51,4.8,27,-23.7
"817",184.14,242,4.8,40,-19.68
"818",184.16,210,4.2,17,-18.84
"819",184.2,65,4.9,37,-26.17
"820",184.2,244,4.5,34,-20.13
"821",184.23,223,4.1,23,-19.69
"822",184.23,270,5.1,72,-19.02
"823",184.24,339,4.6,27,-15.02
"824",184.27,210,4.4,27,-20.16
"825",184.28,58,5.5,92,-20.9
"826",184.28,255,4.4,31,-18.6
"827",184.3,161,4.4,17,-19.88
"828",184.3,182,4.3,17,-20.7
"829",184.31,170,4.3,15,-19.66
"830",184.31,195,4,12,-19.68
"831",184.35,201,4.5,30,-19.86
"832",184.36,269,4.7,31,-19.14
"833",184.37,220,4.2,18,-19.2
"834",184.4,186,4.2,10,-20.1
"835",184.41,138,5,82,-20.56
"836",184.42,104,4.2,17,-23.12
"837",184.42,223,4,15,-19.26
"838",184.46,93,4.2,16,-23.65
"839",184.46,242,4.8,36,-18.89
"840",184.47,40,4.7,17,-23.92
"841",184.47,202,4.2,28,-19.57
"842",184.48,65,4.9,48,-22.43
"843",184.48,246,4.3,15,-19.45
"844",184.49,60,4.7,35,-23.73
"845",184.5,54,5.2,74,-23.75
"846",184.5,56,5.7,106,-23.34
"847",184.5,68,4.7,23,-24.1
"848",184.5,118,4.4,30,-15.7
"849",184.5,174,4.5,34,-18.68
"850",184.51,184,4.4,26,-19.85
"851",184.52,49,5,52,-22.82
"852",184.52,144,4.3,25,-20.75
"853",184.52,230,4.1,16,-19.1
"854",184.53,108,4.7,33,-16
"855",184.53,199,4.3,21,-19.6
"856",184.56,99,4.8,57,-22.24
"857",184.6,41,4.5,22,-23.9
"858",184.6,44,4.8,34,-23.28
"859",184.6,63,4.8,27,-23.44
"860",184.61,76,4.7,36,-23.28
"861",184.62,40,5.1,54,-15
"862",184.64,43,5.4,45,-23.95
"863",184.68,99,4.1,14,-15.2
"864",184.68,102,4.9,27,-23.3
"865",184.68,136,4.7,29,-21.05
"866",184.68,260,4.4,21,-17.95
"867",184.7,42,5,36,-23.8
"868",184.7,162,4.3,20,-20.81
"869",184.7,197,4.1,11,-19.21
"870",184.75,107,5.6,121,-20.25
"871",184.8,97,4.5,13,-23.2
"872",184.83,299,4.4,30,-15.85
"873",184.84,221,4.2,18,-18.4
"874",184.85,70,5,48,-24.04
"875",184.87,294,4.1,10,-14.85
"876",184.89,304,4.6,34,-16.09
"877",184.9,61,4.7,16,-23.5
"878",184.91,47,4.9,47,-22.04
"879",184.93,286,4.7,25,-17.1
"880",184.95,82,4.9,50,-20.88
"881",184.95,306,4.3,11,-15.94
"882",184.97,210,4.1,22,-19.13
"883",185,74,4.1,15,-21.79
"884",185,383,4,10,-17.7
"885",185.01,79,4.7,42,-20.81
"886",185.05,292,4.8,42,-15.55
"887",185.1,70,4.1,15,-15.7
"888",185.1,86,5.1,61,-20.24
"889",185.1,237,4.5,39,-15.39
"890",185.11,262,4.9,56,-15.24
"891",185.13,219,4.5,28,-17.63
"892",185.13,290,4.6,29,-15.85
"893",185.16,206,4.5,22,-17.42
"894",185.17,97,4.4,22,-17.8
"895",185.17,315,4.1,15,-15.65
"896",185.18,51,4.6,28,-20.88
"897",185.19,249,4,11,-15.43
"898",185.2,125,4.4,13,-19.6
"899",185.2,139,4.4,15,-21.5
"900",185.23,66,4.4,34,-15.67
"901",185.23,280,4.5,28,-15.75
"902",185.25,82,4.4,39,-15.8
"903",185.25,129,5.1,73,-18.97
"904",185.26,54,5.1,44,-20.89
"905",185.26,224,4.2,21,-15.44
"906",185.27,201,4.7,57,-18.35
"907",185.3,50,4.6,22,-22.1
"908",185.3,57,4.4,19,-15.9
"909",185.3,93,4.4,25,-15.5
"910",185.31,223,4.1,15,-17.14
"911",185.32,123,4.7,36,-21.13
"912",185.32,257,4.7,30,-16.1
"913",185.33,223,4.1,10,-17.78
"914",185.35,57,4.9,31,-19.62
"915",185.4,243,4,11,-18.5
"916",185.43,189,4.5,22,-17.43
"917",185.43,297,4.8,25,-16.03
"918",185.48,51,5,29,-21.54
"919",185.48,143,4.4,29,-18
"920",185.5,47,4.5,29,-21.56
"921",185.5,52,4.4,18,-22
"922",185.51,218,5,52,-16.65
"923",185.6,85,5.3,86,-21.13
"924",185.6,107,4.5,15,-19
"925",185.61,108,4.1,12,-16.98
"926",185.62,66,4.9,38,-21.57
"927",185.64,138,4.3,21,-15.72
"928",185.68,93,5.4,85,-20.47
"929",185.7,90,4.7,30,-16.52
"930",185.72,135,4,22,-16.9
"931",185.74,126,4.7,30,-16.44
"932",185.74,178,4.2,32,-17.03
"933",185.75,154,4.5,22,-16.24
"934",185.77,57,5.3,69,-21.29
"935",185.77,69,4.3,25,-20.66
"936",185.77,118,4.6,15,-20.76
"937",185.8,69,4.9,74,-21.29
"938",185.8,152,4,11,-15.31
"939",185.86,48,5,40,-19.3
"940",185.86,55,4.9,46,-21.47
"941",185.86,148,5,47,-16.4
"942",185.9,42,5.7,76,-22.55
"943",185.9,104,4.5,19,-20.83
"944",185.9,121,4.1,17,-15.85
"945",185.9,127,5.4,75,-17.1
"946",185.93,77,4.1,16,-15.18
"947",185.94,95,4.3,12,-16.95
"948",185.96,180,4.2,29,-17.08
"949",185.98,162,4.4,36,-15.28
"950",186,48,4.5,10,-16.3
"951",186.04,94,4.3,26,-15.49
"952",186.08,143,4.6,41,-15.97
"953",186.1,74,4.3,22,-20.4
"954",186.1,96,4.6,32,-15.31
"955",186.16,44,5.4,110,-19.33
"956",186.16,102,4.3,21,-20.36
"957",186.2,47,4.8,19,-19.7
"958",186.21,158,5,57,-15.24
"959",186.26,64,5.1,54,-15.65
"960",186.3,63,4.6,19,-20.1
"961",186.3,80,4,10,-20.7
"962",186.3,123,4.2,16,-15.43
"963",186.36,100,4.7,40,-19.36
"964",186.4,98,4.4,17,-15.35
"965",186.42,153,4.6,31,-15.29
"966",186.44,69,4.3,42,-15.41
"967",186.51,63,5,28,-20.41
"968",186.52,111,4.8,30,-16.21
"969",186.54,85,4.2,28,-17.4
"970",186.59,56,5.2,49,-19.34
"971",186.66,112,5.1,57,-15.36
"972",186.71,130,5.5,95,-15.36
"973",186.72,68,4.8,48,-18.78
"974",186.73,75,4.1,20,-16.43
"975",186.73,82,4.4,17,-15.48
"976",186.73,83,4.7,37,-15.45
"977",186.74,82,4.8,51,-16.62
"978",186.75,48,5.7,123,-15.33
"979",186.78,104,5.1,71,-17.74
"980",186.8,45,4.4,11,-15.66
"981",186.8,70,4.1,22,-17.04
"982",186.8,112,4.5,35,-17.68
"983",186.83,45,5.2,65,-19.02
"984",186.87,78,4.7,44,-15.4
"985",186.9,46,4.7,18,-15.5
"986",186.9,58,4.4,20,-19.5
"987",187,70,4.7,30,-16.99
"988",187.09,45,4.9,62,-17.67
"989",187.1,62,4.9,46,-16.51
"990",187.15,49,5,30,-15.61
"991",187.15,60,4.5,17,-15.54
"992",187.2,50,4.7,28,-15.17
"993",187.32,42,5.1,68,-16.14
"994",187.48,61,4.5,19,-16.11
"995",187.55,44,4.8,35,-18.85
"996",187.8,40,4.5,14,-17.4
"997",187.8,40,4.5,18,-16.49
"998",187.81,40,5.5,91,-15.46
"999",188.1,45,4.2,10,-17.7
"1000",188.13,52,5,30,-15.87
